epoch,train_loss,train_loss_ch0,train_loss_ch1,train_loss_ch2,train_loss_ch3,val_loss,lr,epoch_time_sec,data_time_sec,train_samples_per_sec,val_samples_per_sec,val_loss_ch0,val_loss_ch1,val_loss_ch2,val_loss_ch3
1,0.004231885579679834,9.821468505934819e-05,9.282102699701985e-05,0.00012472844734697395,0.00011209729343722251,0.0032822596401286624,0.0018000000000000002,12311.938581466675,24.05021047592163,1520.4754211639315,4279.74684680423,7.046006896416657e-05,6.750392094788064e-05,9.789548124535941e-05,8.684252021945819e-05
2,0.002915287424072934,6.012050883716963e-05,5.748165018000388e-05,8.676891674652627e-05,7.647806101107966e-05,0.0029865439739078284,0.0016200000000000001,12188.450877904892,20.44865584373474,1535.8801694754695,4333.8953177368785,6.093311479889962e-05,5.879805631623943e-05,8.74789131861083e-05,7.765159935055029e-05
3,0.002589774709722001,5.0973917475352616e-05,4.8450212132138405e-05,7.672176103177562e-05,6.697344385793258e-05,0.002807330570106084,0.001458,12174.236743211746,13.511597633361816,1537.6733995614236,4333.257289295957,5.680682404090476e-05,5.450666675278626e-05,8.365758153740898e-05,7.354290018702159e-05
4,0.002407721515961586,4.5903572063909654e-05,4.3403470048259706e-05,7.102941623664568e-05,6.152743390930482e-05,0.0027115707516980666,0.0013122000000000001,12175.938014268875,13.505207538604736,1537.4585496462116,4336.009872427076,5.563879177922596e-05,5.3608060176884464e-05,8.226266776182456e-05,7.264290626335424e-05
5,0.0022762914724913166,4.229640461486876e-05,3.974088812932071e-05,6.687365047198707e-05,5.7578913761567995e-05,0.002677172359583589,0.00118098,12174.447682619095,13.678759574890137,1537.6467572098315,4331.985094100157,5.450328855052552e-05,5.215090739572285e-05,8.056053075779346e-05,7.084572786091788e-05
6,0.0021730957259553383,3.9513227446175534e-05,3.690787369583227e-05,6.36312121547841e-05,5.455378568725185e-05,0.002601780923665501,0.001062882,12175.595022916794,13.310463666915894,1537.5018604647564,4334.463558150642,5.394260737981919e-05,5.166033454618931e-05,8.061876599458629e-05,7.059860195901516e-05
7,0.002086517794966413,3.7238770022794495e-05,3.462477306240746e-05,6.083753138227621e-05,5.20435829289454e-05,0.00258013398378777,0.0009565938,12733.823611974716,40.48757362365723,1470.1004639640182,4294.222553959361,5.329040758018285e-05,5.061681017074685e-05,7.921876888879827e-05,6.961789660635986e-05
8,0.002012853196459926,3.534934234408461e-05,3.273088259432673e-05,5.8456518725607665e-05,4.99246073991344e-05,0.002545915842638351,0.00086093442,12522.094553947449,35.987571716308594,1494.957566352087,4125.820999452099,5.289097388352578e-05,5.032982137799991e-05,7.951722308280295e-05,6.978473522030981e-05
9,0.0019486599922335396,3.375025732096522e-05,3.1140723401778004e-05,5.6378409170217004e-05,4.8100749332257285e-05,0.0025563278949897114,0.000774840978,12419.168429136276,32.029016733169556,1507.3473000077454,4244.283727490393,5.268169939366393e-05,5.0617250294029263e-05,7.941083305559005e-05,6.924397787103468e-05
10,0.0018914688472577836,3.23745234005249e-05,2.978596327630435e-05,5.447072537981512e-05,4.6509494225473546e-05,0.002497753788988727,0.0006973568802,12329.167057275772,35.57217288017273,1518.3507460832745,4290.364648425896,5.198737723791661e-05,4.985635848728028e-05,7.873310633052218e-05,6.917726134148931e-05
11,0.0018403002373977668,3.117280861223056e-05,2.8608500250053717e-05,5.2739729251142205e-05,4.508172050888485e-05,0.0024821112893599396,0.0006276211921800001,12352.867356061935,34.934815645217896,1515.4376275896393,4094.0113403473133,5.1934448157832474e-05,4.985423395692123e-05,7.887372325300627e-05,6.928038484935921e-05
12,0.0017941043013157065,3.01060791583849e-05,2.757629856404896e-05,5.112706001935092e-05,4.3774865084944595e-05,0.0024643585981490713,0.0005648590729620001,26570.35222840309,27.60552668571472,704.544668398816,4180.853759290779,5.1818224130632494e-05,4.954888499241861e-05,7.846502262934034e-05,6.866267105700294e-05
