Mathematical Manipulation,Script/Function,Resulting Object Type and Precision,python_step,matlab_step,equivalence_status,deviation_risk
"Initialize geometry storage tensor for all samples","Generator setup","(N_pix,N_pix,3,N_struct) float64 pre-cast","generate_dispersion_dataset_Han_Alex.py allocates designs","generate_dispersion_dataset_Han_Alex.m allocates designs","Equivalent","Low"
"Initialize material property storage E/rho/nu","Generator setup","float arrays (Python float32/float16 save, MATLAB double save)","elastic_modulus_data/density_data/poisson_data arrays","ELASTIC_MODULUS_DATA/DENSITY_DATA/POISSON_DATA arrays","Equivalent concept","Low"
"Initialize constitutive constants","Const dictionary/struct","Python dict scalars, MATLAB struct scalars","E_min/E_max/rho_min/rho_max/poisson_min/poisson_max/t in Python const","Same constant fields in MATLAB const","Equivalent (after prior parity fixes)","Low"
"Generate stochastic p4mm-style designs","Design generation","(N_pix,N_pix,3) normalized design fields","DesignParameters + get_design2 + get_prop/kernel path","design_params + get_design2.m + get_prop/kernel path","Equivalent when options/seeding aligned","Medium"
"Convert design scale and apply steel-rubber mapping","Design conversion","mapped 3-channel constitutive representation","convert_design + apply_steel_rubber_paradigm","convert_design.m + apply_steel_rubber_paradigm.m","Equivalent intent","Medium"
"Generate IBZ wavevectors for solver grid","Wavevector generation","(N_wv,2)","wavevectors.get_IBZ_wavevectors","get_IBZ_wavevectors.m","Equivalent set; order may differ","Medium"
"Assemble global K/M matrices","System matrix assembly","sparse matrices","get_system_matrices_VEC path in Python","get_system_matrices_VEC.m path in MATLAB","Algorithmically equivalent","Medium"
"Apply Bloch reduction per wavevector","Dispersion solver core","Kr/Mr reduced matrices","T^H K T and T^H M T in Python solver","T' K T and T' M T in MATLAB solver","Equivalent formulation","Medium"
"Solve generalized EVP and sort by mode","Dispersion solver core","complex eigpairs and real frequencies","numpy/scipy eig path + sorting","MATLAB eigs path + sorting","Close but implementation-specific differences remain","High"
"Convert eigenvalues to frequencies","Post-processing","frequency arrays","sqrt(real(lambda))/(2*pi), then cast for PT output","sqrt(real(eig_vals))/(2*pi), saved in .mat","Equivalent formula","Medium"
"Store per-structure outputs","Aggregation","WAVEVECTOR/EIGENVALUE/EIGENVECTOR arrays","wavevector_data/eigenvalue_data/eigenvector_data writes","WAVEVECTOR_DATA/EIGENVALUE_DATA/EIGENVECTOR_DATA writes","Equivalent content with layout differences","Medium"
"Build Python native PT bundle","Python output path",".pt tensors (float16-first)","geometries_full.pt/wavevectors_full.pt/eigenvalue_data_full.pt (+ embeddings)","No direct MATLAB equivalent","Different target format by design","Medium"
"Build MATLAB native MAT bundle","MATLAB output path",".mat datasets (double-dominant)","Python .mat export disabled in production PT path","save(...,'-v7.3') in MATLAB workflow","Different target format by design","Medium"
"Plot dispersion from saved datasets","Non-debug plotting scripts","PNG plots","2d-dispersion-py/plot_dispersions.py","2D-dispersion-mat/plot_dispersion.m","Equivalent plotting objective","Low"
"Interpolate onto IBZ contour for plotting","Plot interpolation","contour frequency arrays","LinearNDInterpolator + nearest fallback in Python","scatteredInterpolant('linear','linear') in MATLAB","Functionally close","Medium"
"Use p4mm contour in non-debug plotting","Plot contour path","Gamma-X-M-Gamma x-axis path","get_IBZ_contour_wavevectors(...,'p4mm') in plot_dispersions.py","forced p4mm override in plot_dispersion.m","Equivalent after current MATLAB plot patch","Low"
"Save final dispersion plot artifacts","Plot output files","PNG + optional plot-point data","plots/<dataset>_full/dispersion/*.png","plots/<dataset>_mat/dispersion/*.png and plot_points.mat","Equivalent practical output","Low"
